rank,hand,category,description
693,AT985,F,Ace-High Flush
694,AT984,F,Ace-High Flush
695,AT983,F,Ace-High Flush
696,AT982,F,Ace-High Flush
697,AT976,F,Ace-High Flush
698,AT975,F,Ace-High Flush
699,AT974,F,Ace-High Flush
700,AT973,F,Ace-High Flush
701,AT972,F,Ace-High Flush
702,AT965,F,Ace-High Flush
703,AT964,F,Ace-High Flush
704,AT963,F,Ace-High Flush
705,AT962,F,Ace-High Flush
706,AT954,F,Ace-High Flush
707,AT953,F,Ace-High Flush
708,AT952,F,Ace-High Flush
709,AT943,F,Ace-High Flush
710,AT942,F,Ace-High Flush
711,AT932,F,Ace-High Flush
712,AT876,F,Ace-High Flush
713,AT875,F,Ace-High Flush
714,AT874,F,Ace-High Flush
715,AT873,F,Ace-High Flush
716,AT872,F,Ace-High Flush
717,AT865,F,Ace-High Flush
718,AT864,F,Ace-High Flush
719,AT863,F,Ace-High Flush
720,AT862,F,Ace-High Flush
721,AT854,F,Ace-High Flush
722,AT853,F,Ace-High Flush
723,AT852,F,Ace-High Flush
724,AT843,F,Ace-High Flush
725,AT842,F,Ace-High Flush
726,AT832,F,Ace-High Flush
727,AT765,F,Ace-High Flush
728,AT764,F,Ace-High Flush
729,AT763,F,Ace-High Flush
730,AT762,F,Ace-High Flush
731,AT754,F,Ace-High Flush
732,AT753,F,Ace-High Flush
733,AT752,F,Ace-High Flush
734,AT743,F,Ace-High Flush
735,AT742,F,Ace-High Flush
736,AT732,F,Ace-High Flush
737,AT654,F,Ace-High Flush
738,AT653,F,Ace-High Flush
739,AT652,F,Ace-High Flush
740,AT643,F,Ace-High Flush
741,AT642,F,Ace-High Flush
742,AT632,F,Ace-High Flush
743,AT543,F,Ace-High Flush
744,AT542,F,Ace-High Flush
745,AT532,F,Ace-High Flush
746,AT432,F,Ace-High Flush
747,A9876,F,Ace-High Flush
748,A9875,F,Ace-High Flush
749,A9874,F,Ace-High Flush
750,A9873,F,Ace-High Flush
751,A9872,F,Ace-High Flush
752,A9865,F,Ace-High Flush
753,A9864,F,Ace-High Flush
754,A9863,F,Ace-High Flush
755,A9862,F,Ace-High Flush
756,A9854,F,Ace-High Flush
757,A9853,F,Ace-High Flush
758,A9852,F,Ace-High Flush
759,A9843,F,Ace-High Flush
760,A9842,F,Ace-High Flush
761,A9832,F,Ace-High Flush
762,A9765,F,Ace-High Flush
763,A9764,F,Ace-High Flush
764,A9763,F,Ace-High Flush
765,A9762,F,Ace-High Flush
766,A9754,F,Ace-High Flush
767,A9753,F,Ace-High Flush
768,A9752,F,Ace-High Flush
769,A9743,F,Ace-High Flush
770,A9742,F,Ace-High Flush
771,A9732,F,Ace-High Flush
772,A9654,F,Ace-High Flush
773,A9653,F,Ace-High Flush
774,A9652,F,Ace-High Flush
775,A9643,F,Ace-High Flush
